corpus,filename,circular_no,date,title,url,downloaded_at,file_size_kb
sebi,14b._20Factsheet_Nifty_India_Manufacturing_Index.pdf,unknown,2026-06-12,Attachment : 14b. Factsheet_Nifty_India_Manufacturing_Index.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/14b.%20Factsheet_Nifty_India_Manufacturing_Index.pdf,2026-06-12T00:31:31.471411,129.9
sebi,13._20AMFI_20email_2035P_20114_20dt._2002-Mar-22.pdf,dated,27-10-2021,SEBI circular dated 27-10-2021 on Guiding Principles for bringing uniformity in Benchmarks of Mutual Fund Schemes - Addition of Nifty Housing index in List of 1st tier benchmarks f,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/13.%20AMFI%20email%2035P%20114%20dt.%2002-Mar-22.pdf,2026-06-12T00:31:31.472409,94.2
sebi,13a._20Nifty_20Press_20Release_20for_20launch_20of_20Housing_20Index.pdf,unknown,2026-06-12,Attachment : 13a. Nifty Press Release for launch of Housing Index.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/13a.%20Nifty%20Press%20Release%20for%20launch%20of%20Housing%20Index.pdf,2026-06-12T00:31:31.474408,182.6
sebi,13b._20Factsheet_Nifty_20Housing_20Index.pdf,unknown,2026-06-12,Attachment : 13b. Factsheet_Nifty Housing Index.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/13b.%20Factsheet_Nifty%20Housing%20Index.pdf,2026-06-12T00:31:31.477409,217.1
sebi,13c._20Methodology_20Document_20-_20NSE_20Indices.pdf,unknown,2026-06-12,Attachment : 13c. Methodology Document - NSE Indices.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/13c.%20Methodology%20Document%20-%20NSE%20Indices.pdf,2026-06-12T00:31:31.479410,1839.6
sebi,12._20AMFI_20email_2035P_2076_20dt._2010-Dec-21.pdf,dated,2026-06-12,"SEBI circular dated October 27, 2021 on Guiding Principles for bringing uniformity in Benchmarks of Mutual Fund Schemes - list of benchmark indices intended to used by AMCs as 1st ",https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/12.%20AMFI%20email%2035P%2076%20dt.%2010-Dec-21.pdf,2026-06-12T00:31:31.480411,236.9
sebi,11._20AMFI_20email_2035P_2074_20dt._2004-Dec-21.pdf,unknown,2026-06-12,List of 1st tier benchmark indices - Change in the Index for Dynamic Asset Allocation / Balanced Advantage Fund - Proposed by CRISIL & IISL,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/11.%20AMFI%20email%2035P%2074%20dt.%2004-Dec-21.pdf,2026-06-12T00:31:31.482419,146.1
sebi,CU124-AMFIBPGCircular93adt.03-Dec-21-PrudentialnormsforLiquidity.pdf,rms,2026-06-12,Prudential norms for Liquidity Risk Management for Open-ended Debt Schemes – Clarifications / Amendments,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/CU124-AMFIBPGCircular93adt.03-Dec-21-PrudentialnormsforLiquidity.pdf,2026-06-12T00:31:31.483414,126.5
sebi,9._20AMFI_20email_2035P_2072_20dt._2002-Dec-21-SEBI_20Cir_20dt._2027-Oct-2021.pdf,dated,2026-06-12,"SEBI circular dated October 27, 2021 on Guiding Principles for bringing uniformity in Benchmarks of Mutual Fund Schemes - list of benchmark indices intended to used by AMCs as 1st ",https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/9.%20AMFI%20email%2035P%2072%20dt.%2002-Dec-21-SEBI%20Cir%20dt.%2027-Oct-2021.pdf,2026-06-12T00:31:31.485409,80.9
sebi,8._20AMFI_20email_2035P_2073_20dt._2002-Dec-21.pdf,dated,2026-06-12,"SEBI circular dated October 27, 2021 on Guiding Principles for bringing uniformity in Benchmarks of Mutual Fund Schemes - list of benchmark indices intended to used by AMCs as 1st ",https://www.amfiindia.com/Themes/Theme1/downloads/circulars/SEBI/8.%20AMFI%20email%2035P%2073%20dt.%2002-Dec-21.pdf,2026-06-12T00:31:31.486409,89.9
